lookup_text,fbw_percent,fbs_percent,dbs_percent,edbs_percent,cc_percent,booking_percent,lookup_norm,category_name,subject_name,category_norm,subject_norm
Рукоделие Мулине,29.5,33.0,25.0,3.0,19.5,19.5,рукоделие мулине,Рукоделие,Мулине,рукоделие,мулине
Рукоделие Холсты,29.5,33.0,25.0,3.0,19.5,19.5,рукоделие холсты,Рукоделие,Холсты,рукоделие,холсты
Рукоделие Наборы для лепки,29.5,33.0,25.0,3.0,19.5,19.5,рукоделие наборы для лепки,Рукоделие Наборы для,лепки,рукоделие наборы для,лепки
Рукоделие Глина для лепки,29.5,33.0,25.0,3.0,19.5,19.5,рукоделие глина для лепки,Рукоделие,Глина для лепки,рукоделие,глина для лепки
Рукоделие Другие жидкости для рукоделия,29.5,33.0,25.0,3.0,19.5,19.5,рукоделие другие жидкости для рукоделия,Рукоделие,Другие жидкости для рукоделия,рукоделие,другие жидкости для рукоделия
Рукоделие Красители для эпоксидной смолы,29.5,33.0,25.0,3.0,19.5,19.5,рукоделие красители для эпоксидной смолы,Рукоделие,Красители для эпоксидной смолы,рукоделие,красители для эпоксидной смолы
Рукоделие Ткани для рукоделия,29.5,33.0,25.0,3.0,19.5,19.5,рукоделие ткани для рукоделия,Рукоделие,Ткани для рукоделия,рукоделие,ткани для рукоделия
Рукоделие Швейная фурнитура,29.5,33.0,25.0,3.0,19.5,19.5,рукоделие швейная фурнитура,Рукоделие,Швейная фурнитура,рукоделие,швейная фурнитура
Рукоделие Чехлы для швейных машин,29.5,33.0,25.0,3.0,19.5,19.5,рукоделие чехлы для швейных машин,Рукоделие,Чехлы для швейных машин,рукоделие,чехлы для швейных машин
Рукоделие Ленты флористические,29.5,33.0,25.0,3.0,19.5,19.5,рукоделие ленты флористические,Рукоделие,Ленты флористические,рукоделие,ленты флористические
